new_id,city,cc,country,region,subregion,lat,lon,North_America,Europe,LATAM,Africa,SE_Asia,Oceania,S_Asia,W_Asia,East_Asia,GDP,GDP_growth,GDP_per_cap_method1,GDP_per_cap_method2,Population,Population_growth_rate,Area_method2,Density_method1,HDD,CDD,TDD,HDI_country,HDI_2,Fuel_price,CO2_cap_QC,Target
IT2185,Ottana,IT,Italy,Europe,Europe (EU & EFTA countries),40.2334988,9.0445989,0,1,0,0,0,0,0,0,0,43.8382,-0.00721023,18100.0,21656.62695,2422,1.003954781,9.881108609,245.11419680000003,1822,1770,3592,0.8718088070000001,0.850871265,1.61,False,IT2185
IT2186,San Vincenzo Valle Roveto,IT,Italy,Europe,Europe (EU & EFTA countries),41.8284863,13.5277428867921,0,1,0,0,0,0,0,0,0,57.111999999999995,0.00025628,23600.0,28106.41602,2420,1.003954781,9.23762145,261.9721985,3342,1141,4483,0.8718088070000001,0.857737958,1.26,True,IT2186
IT2187,Grottole,IT,Italy,Europe,Europe (EU & EFTA countries),40.60102,16.37928,0,1,0,0,0,0,0,0,0,41.382,-0.00721023,17100.0,42418.44922,2420,1.003954781,6.3877836939999995,378.8481445,2025,1841,3866,0.8718088070000001,0.903752804,1.61,False,IT2187
IT2188,Cantiano,IT,Italy,Europe,Europe (EU & EFTA countries),43.4743093,12.6288151,0,1,0,0,0,0,0,0,0,62.193999999999996,-0.00721023,25700.0,42418.44922,2420,1.003954781,82.13371311,29.46414948,3897,1173,5070,0.8718088070000001,0.903752804,1.61,True,IT2188
IT2189,Comune Di Palagano,IT,Italy,Europe,Europe (EU & EFTA countries),44.320957,10.6461,0,1,0,0,0,0,0,0,0,80.9695,-0.013045788000000001,33500.0,26516.91992,2417,1.003954781,9.057517567,266.8501587,8721,11,8732,0.8718088070000001,0.853640974,1.26,False,IT2189
IT2190,Grisolia,IT,Italy,Europe,Europe (EU & EFTA countries),39.724499,15.854179,0,1,0,0,0,0,0,0,0,40.6783,-0.004056062,16900.0,23507.74805,2407,1.003954781,5.0827049010000005,473.56674189999995,1868,1656,3524,0.8718088070000001,0.853640974,1.26,False,IT2190
IT2191,Villanova Monteleone,IT,Italy,Europe,Europe (EU & EFTA countries),40.5036564,8.4708073,0,1,0,0,0,0,0,0,0,48.581,-0.007210229,20200.0,43134.01172,2405,1.003954781,8.460665713,284.2565918,2413,1332,3745,0.8718088070000001,0.909640908,1.61,False,IT2191
IT2192,Rubiana,IT,Italy,Europe,Europe (EU & EFTA countries),45.1379458,7.3848302,0,1,0,0,0,0,0,0,0,73.1695,-0.0029028640000000002,30500.0,38284.99609,2399,1.003954781,3.1005076430000003,773.7442627,4063,913,4976,0.8718088070000001,0.895872772,1.26,False,IT2192
IT2193,Castiglione Messer Raimondo,IT,Italy,Europe,Europe (EU & EFTA countries),42.5319147,13.8815453,0,1,0,0,0,0,0,0,0,55.3707,-0.000227535,23100.0,26456.38672,2397,1.003954781,7.676052843,312.26986689999995,3115,1056,4171,0.8718088070000001,0.853640974,1.26,False,IT2193
IT2194,Moruzzo,IT,Italy,Europe,Europe (EU & EFTA countries),46.1202406,13.123152,0,1,0,0,0,0,0,0,0,68.6217,-0.00721023,28700.0,21656.62695,2391,1.003954781,11.50952487,207.7409821,3042,613,3655,0.8718088070000001,0.850871265,1.61,False,IT2194
IT2195,Riardo,IT,Italy,Europe,Europe (EU & EFTA countries),41.262717,14.151923,0,1,0,0,0,0,0,0,0,36.0437,-0.007210224,15100.0,40640.27734,2387,1.003954781,8.641990853,276.2095032,2469,1481,3950,0.8718088070000001,0.909357607,1.61,False,IT2195
IT2196,Varano Borghi,IT,Italy,Europe,Europe (EU & EFTA countries),45.7746301,8.7036658,0,1,0,0,0,0,0,0,0,68.3921,0.0016320420000000002,28700.0,38060.31641,2383,1.003954781,6.315698274,377.3137817,4449,881,5330,0.8718088070000001,0.895872772,1.26,True,IT2196
